symbol,formula,volume_limit,contract_size,type
#STZ_cl,lots,5,1,CFD_US
#TAP_cl,lots,5,1,CFD_US
#MS_cl,lots,5,1,CFD_US
#RNG_cl,lots,5,1,CFD_US
#KODK_cl,lots,5,1,CFD_US
#AMWL_cl,lots,5,1,TMP
#BB_cl,lots,5,1,CFD_US
#COTY_cl,lots,5,1,CFD_US
#EDU_cl,lots,5,1,CFD_US
#FIS_cl,lots,5,1,CFD_US
#GPN_cl,lots,5,1,CFD_US
#KMI_cl,lots,5,1,CFD_US
#TME_cl,lots,5,1,CFD_US
#FTI_cl,lots,5,1,CFD_US
#ABT_cl,lots,5,1,CFD_US
#BA_cl,lots,5,1,CFD_US
#OXY_cl,lots,5,1,CFD_US
#SLB_cl,lots,5,1,CFD_US
#AXP_cl,lots,5,1,CFD_US
#BABA_cl,lots,5,1,CFD_US
#BAC_cl,lots,5,1,CFD_US
#CAT_cl,lots,5,1,CFD_US
#CL_cl,lots,5,1,CFD_US
#DIS_cl,lots,5,1,CFD_US
#F_cl,lots,5,1,CFD_US
#GD_cl,lots,5,1,CFD_US
#GE_cl,lots,5,1,CFD_US
#HD_cl,lots,5,1,CFD_US
#HPQ_cl,lots,5,1,CFD_US
#IBM_cl,lots,5,1,CFD_US
#JNJ_cl,lots,5,1,CFD_US
#JPM_cl,lots,5,1,CFD_US
#KO_cl,lots,5,1,CFD_US
#LMT_cl,lots,5,1,CFD_US
#MA_cl,lots,5,1,CFD_US
#MCD_cl,lots,5,1,CFD_US
#MMM_cl,lots,5,1,CFD_US
#MO_cl,lots,5,1,CFD_US
#NIKE_cl,lots,5,1,CFD_US
#PANW_cl,lots,5,1,CFD_US
#DVN_cl,lots,5,1,CFD_US
#PFE_cl,lots,5,1,CFD_US
#PG_cl,lots,5,1,CFD_US
#PM_cl,lots,5,1,CFD_US
#SNOW_cl,lots,5,1,CFD_US
#T_cl,lots,5,1,CFD_US
#TOT_cl,lots,5,1,CFD_US
#V_cl,lots,5,1,CFD_US
#VZ_cl,lots,5,1,CFD_US
#WMT_cl,lots,5,1,CFD_US
#XOM_cl,lots,5,1,CFD_US
#RTX_cl,lots,5,1,CFD_US
#C_cl,lots,5,1,CFD_US
#SQ_cl,lots,5,1,TMP
#CLX_cl,lots,5,1,CFD_US
#NIO_cl,lots,5,1,CFD_US
#ABBV_cl,lots,5,1,CFD_US
AAVUSD_cl,lots,5,10,Cryptocurrencies
ADAUSD_cl,lots,5,10000,Cryptocurrencies
ALGUSD_cl,lots,5,10000,Cryptocurrencies
ALIUSD_cl,lots,5,100,Cryptocurrencies
ALPUSD_cl,lots,5,10000,Cryptocurrencies
ATOUSD_cl,lots,5,100,Cryptocurrencies
AVXUSD_cl,lots,5,100,Cryptocurrencies
AXSUSD_cl,lots,5,100,Cryptocurrencies
BCHUSD_cl,lots,5,10,Cryptocurrencies
BNBUSD_cl,lots,5,100,Cryptocurrencies
BTCUSD_cl,lots,5,1,Cryptocurrencies
CHZUSD_cl,lots,5,10000,Cryptocurrencies
COMUSD_cl,lots,5,10,Cryptocurrencies
DGEUSD_cl,lots,5,10000,Cryptocurrencies
DOTUSD_cl,lots,5,100,Cryptocurrencies
DSHUSD_cl,lots,5,10,Cryptocurrencies
ENJUSD_cl,lots,5,1000,Cryptocurrencies
EOSUSD_cl,lots,5,1000,TMP
ETHBTC_cl,lots,5,1,Cryptocurrencies
ETHUSD_cl,lots,5,1,Cryptocurrencies
FILUSD_cl,lots,5,100,Cryptocurrencies
ICPUSD_cl,lots,5,100,Cryptocurrencies
KAVUSD_cl,lots,5,1000,Cryptocurrencies
LNKUSD_cl,lots,5,100,Cryptocurrencies
